"Prosta delovna mesta, zasedena delovna mesta ter stopnja prostih"
"delovnih mest (originalni podatki) po: MERITVE, SKD DEJAVNOST ,"
"ÈETRTLETJE"

" ";" ";"2011Q1";"2011Q2";"2011Q3";"2011Q4";"2012Q1";"2012Q2";"2012Q3";"2012Q4";"2013Q1";"2013Q2";"2013Q3";"2013Q4";"2014Q1";"2014Q2";"2014Q3";"2014Q4";"2015Q1";"2015Q2"
"Število prostih delovnih mest  - SKUPAJ"
"delovnega mesta pri Zavodu. Prijava prostega delovnega mesta "
"je še vedno obvezna za javni sektor in gospodarske družbe v veèinski "
"lasti države, drugi delodajalci pa prosto delovno mesto lahko "
"objavijo prek storitev Zavoda, èe to želijo.  "
"- Podatki o prostih delovnih mestih za obdobje od 2013Q2 do 2014Q1 so "
"ocenjeni s programom Demetra+, in sicer z metodo TRAMO/SEATS. V "
"modelu za napovedi so za 2. èetrtletje 2014 in 4. èetrtletje 2014 "
" uporabljeni podatki o številu prostih delovnih mest, ki so bili "
"zbrani z Napovednikom zaposlovanja (NAP-ZAP) (anketo je izvedel "
"ZRSZ). Vkljuèeni so bili vsi delodajalci z vsaj 10 zaposlenimi "
"osebami, za preraèun  "
"na celotno populacijo pa so bili uporabljeni deleži za isto "
"èetrtletje iz leta 2012.  "
"- Od 2015Q1 dalje zbira SURS te podatke z vzorènim raziskovanjem. "
"Podatki o prostih delovnih mestih v javnem sektorju pa se še vedno "
"prevzemajo od ZRSZ. V vzorec so zajeti poslovni subjekti, ki po svoji "
" "
"glavni dejavnosti spadajo v dejavnosti od B do S (po SKD). Ker tisti, "
"ki spadajo v dejavnosti A in T, niso veè vkljuèeni, so bile za "
"celotno Slovenijo za èasovno vrsto podatkov od 2008Q1 dalje "
"izraèunane nove  "
"vrednosti, da smo ohranili enako èasovno vrsto podatkov.  "
" "
"ZASEDENA DELOVNA MESTA:  "
"- Od 1. 1. 2008 se ne upoštevajo osebe, ki so na porodniškem dopustu, "
"a so sicer v delovnem razmerju (povpreèno okoli 16.000 oseb).  "
"- Od 1. 9. 2009 se upoštevajo tudi delovna mesta, ki jih zasedajo "
"osebe, napotene na delo ali izobraževanje v tujino (detaširani "
